F_MASV,F_MAMH,F_NHHK,IDKH,TIN_CHI,DIEMTB
1070014,302,20111,1,3,4.0
1070018,316,20111,1,3,4.0
1070022,309,20111,1,3,4.0
1070033,117,20111,1,3,4.0
1070039,8,20111,1,3,4.0
1070094,317,20111,1,3,4.0
1070111,4,20111,1,3,4.0
1070117,7,20111,1,3,4.0
1070150,332,20111,1,3,4.0
1070158,1,20111,1,3,4.0
1070163,4,20111,1,3,4.0
1070166,332,20111,1,3,4.0
1070172,313,20111,1,3,4.0
1070175,130,20111,1,3,4.0
1070179,107,20111,1,3,4.0
1070181,331,20111,1,3,4.0
1070198,118,20111,1,3,4.0
1070203,363,20111,1,3,4.0
1070212,145,20111,1,3,4.0
1070215,363,20111,1,3,4.0
1070223,146,20111,1,3,4.0
1070229,353,20111,1,3,4.0
1070233,146,20111,1,3,4.0
1070258,145,20111,1,3,4.0
1070266,147,20111,12,3,4.0
1070269,145,20111,1,3,4.0
1070280,360,20111,1,3,4.0
1070291,149,20111,1,3,4.0
1070297,361,20111,1,3,4.0
1070303,145,20111,1,3,4.0
1070307,149,20111,7,3,4.0
1070314,146,20111,1,3,4.0
1070344,361,20111,1,3,4.0
1070347,375,20111,1,3,4.0
1070426,539,20122,13,3,4.0
1070466,126,20111,1,3,4.0
1070502,422,20111,6,3,4.0
1070507,146,20111,6,3,4.0
1070520,422,20111,6,3,4.0
1070536,397,20111,6,3,4.0
1070570,404,20111,6,3,4.0
1070589,401,20111,6,3,4.0
1070595,108,20111,12,3,4.0
1070598,457,20111,6,3,4.0
1070611,138,20111,6,3,4.0
1070615,11,20111,6,3,4.0
1070626,118,20111,6,3,4.0
1070652,117,20111,6,3,4.0
1070657,335,20111,6,3,4.0
1070684,108,20111,12,3,4.0
1070699,321,20111,6,3,4.0
1070711,346,20111,6,3,4.0
1070715,335,20111,6,3,4.0
1070738,344,20111,6,3,4.0
1070743,346,20111,6,3,4.0
1070749,115,20111,6,3,4.0
1070759,346,20111,6,3,4.0
1070788,346,20111,6,3,4.0
1070814,337,20123,12,3,4.0
1070823,304,20111,6,3,4.0
1070853,374,20111,6,3,4.0
1070868,371,20111,6,3,4.0
1070893,118,20122,6,3,4.0
1070931,375,20111,6,3,4.0
1070949,362,20111,11,3,4.0
1070956,12,20111,12,3,4.0
1070969,344,20111,11,3,4.0
1070981,356,20111,11,3,4.0
1071039,372,20111,6,3,4.0
1071043,363,20111,6,3,4.0
1071073,434,20111,4,3,4.0
1071076,398,20111,12,3,4.0
1071098,397,20111,6,3,4.0
1071102,363,20111,6,3,4.0
1071108,380,20111,6,3,4.0
1071132,380,20111,6,3,4.0
1071147,363,20111,6,3,4.0
1071168,133,20111,6,3,4.0
1071171,265,20111,6,3,4.0
1071276,278,20122,6,3,4.0
1071285,294,20111,6,3,4.0
1071347,291,20111,6,3,4.0
1071362,162,20111,6,3,4.0
1071372,103,20111,6,3,4.0
1071381,222,20111,6,3,4.0
1071391,394,20111,6,3,4.0
1071409,222,20111,6,3,4.0
1071415,157,20111,6,3,4.0
1071446,307,20111,7,3,4.0
1071474,325,20111,7,3,4.0
1071658,307,20111,7,3,4.0
1071670,349,20122,7,3,4.0
1071701,319,20111,7,3,4.0
1076389,323,20111,12,3,4.0
1076391,313,20111,1,3,4.0
1076394,108,20111,1,3,4.0
1076401,353,20111,1,3,4.0
1076403,353,20111,1,3,4.0
1076431,211,20111,6,3,4.0
1076619,353,20111,8,3,4.0
1076629,351,20111,8,3,4.0
1076642,168,20111,12,3,4.0
1076649,351,20111,8,3,4.0
1076675,362,20111,1,3,4.0
1076679,151,20111,1,3,4.0
1076682,145,20111,1,3,4.0
1076688,450,20111,7,3,4.0
1076694,420,20111,12,3,4.0
1076709,432,20111,12,3,4.0
1076725,440,20111,6,3,4.0
1076731,430,20111,6,3,4.0
1076745,109,20111,12,3,4.0
1076762,468,20111,6,3,4.0
1076765,473,20111,6,3,4.0
1076767,459,20111,6,3,4.0
1076778,457,20111,6,3,4.0
1076780,5,20111,12,3,4.0
1076786,135,20111,12,3,4.0
1076789,420,20111,12,3,4.0
1076791,420,20111,6,3,4.0
1076797,162,20111,6,3,4.0
1076804,152,20111,6,3,4.0
1076814,393,20121,12,3,4.0
1076837,314,20111,6,3,4.0
1076847,384,20122,6,3,4.0
1076854,357,20121,6,3,4.0
1076862,322,20111,6,3,4.0
1076866,335,20111,6,3,4.0
1076872,336,20111,6,3,4.0
1076888,369,20111,11,3,4.0
1076903,364,20111,11,3,4.0
1076930,131,20111,11,3,4.0
1076937,362,20111,12,3,4.0
1076951,268,20111,6,3,4.0
1076954,274,20111,6,3,4.0
1076961,266,20111,6,3,4.0
1076977,219,20111,6,3,4.0
1076981,219,20111,6,3,4.0
1076993,219,20111,6,3,4.0
1077000,157,20111,6,3,4.0
1080003,316,20111,1,3,4.0
1080017,110,20111,1,3,4.0
1080031,316,20111,1,3,4.0
1080049,113,20111,1,3,4.0
1080069,11,20111,1,3,4.0
1080073,312,20111,1,3,4.0
1080078,110,20111,1,3,4.0
1080085,11,20111,1,3,4.0
1080091,315,20111,1,3,4.0
1080097,8,20111,1,3,4.0
1080106,323,20111,1,3,4.0
1080111,3,20111,1,3,4.0
1080118,110,20111,1,3,4.0
1080134,105,20111,1,3,4.0
1080136,330,20111,1,3,4.0
1080149,4,20121,1,3,4.0
1080186,376,20122,1,3,4.0
1080192,349,20111,1,3,4.0
1080195,143,20111,1,3,4.0
1080196,140,20111,1,3,4.0
1080206,6,20111,1,3,4.0
1080213,347,20111,1,3,4.0
1080215,140,20111,1,3,4.0
1080220,150,20111,12,3,4.0
1080229,110,20111,1,3,4.0
1080237,143,20111,12,3,4.0
1080241,349,20111,1,3,4.0
1080247,347,20111,1,3,4.0
1080254,363,20121,1,3,4.0
1080259,370,20121,1,3,4.0
1080261,110,20111,1,3,4.0
1080272,348,20111,1,3,4.0
1080281,110,20111,1,3,4.0
1080284,348,20111,1,3,4.0
1080307,6,20111,1,3,4.0
1080317,140,20111,1,3,4.0
1080318,148,20122,6,3,4.0
1080322,163,20111,1,3,4.0
1080328,141,20111,1,3,4.0
1080329,376,20122,1,3,4.0
1080330,110,20111,1,3,4.0
1080341,347,20111,12,3,4.0
1080356,85,20111,1,3,4.0
1080358,87,20111,1,3,4.0
1080360,93,20111,12,3,4.0
1080367,85,20111,1,3,4.0
1080369,96,20111,1,3,4.0
1080379,110,20111,1,3,4.0
1080387,21,20111,1,3,4.0
1080395,123,20122,1,3,4.0
1080397,131,20111,1,3,4.0
1080399,346,20122,1,3,4.0
1080420,148,20111,6,3,4.0
1080424,17,20111,6,3,4.0
1080433,398,20123,6,3,4.0
1080450,141,20111,6,3,4.0
1080458,1,20111,6,3,4.0
1080464,141,20111,6,3,4.0
1080471,138,20111,6,3,4.0
1080475,141,20122,6,3,4.0
1080498,138,20111,13,3,4.0
1080522,138,20111,6,3,4.0
1080531,463,20122,6,3,4.0
1080539,452,20111,6,3,4.0
1080549,303,20111,6,3,4.0
1080569,358,20122,6,3,4.0
1080573,126,20111,6,3,4.0
1080575,106,20111,6,3,4.0
1080580,303,20111,6,3,4.0
1080583,105,20111,6,3,4.0
1080586,322,20122,6,3,4.0
1080608,105,20111,6,3,4.0
1080620,305,20111,6,3,4.0
1080622,124,20111,6,3,4.0
1080637,105,20111,6,3,4.0
1080654,121,20111,6,3,4.0
1080659,335,20111,6,3,4.0
1080663,105,20111,6,3,4.0
1080669,350,20111,6,3,4.0
1080674,350,20111,6,3,4.0
1080681,105,20111,6,3,4.0
1080694,12,20111,6,3,4.0
1080703,344,20122,6,3,4.0
1080705,123,20111,6,3,4.0
1080712,344,20122,6,3,4.0
1080720,350,20111,6,3,4.0
1080734,117,20111,6,3,4.0
1080787,111,20111,6,3,4.0
1080794,345,20122,12,3,4.0
1080797,355,20111,11,3,4.0
1080812,309,20111,12,3,4.0
1080814,369,20122,11,3,4.0
1080830,337,20123,12,3,4.0
1080857,375,20123,6,3,4.0
1080880,144,20111,6,3,4.0
1080903,362,20111,6,3,4.0
1080911,153,20111,6,3,4.0
1080928,145,20111,6,3,4.0
1080984,155,20111,6,3,4.0
1080997,393,20122,6,3,4.0
1081010,155,20111,6,3,4.0
1081015,384,20122,6,3,4.0
1081021,176,20111,6,3,4.0
1081025,171,20111,6,3,4.0
1081036,171,20111,6,3,4.0
1081042,10,20111,6,3,4.0
1081059,151,20111,6,3,4.0
1081078,177,20111,6,3,4.0
1081090,130,20111,6,3,4.0
1081099,171,20111,6,3,4.0
1081170,299,20122,6,3,4.0
1081193,408,20111,6,3,4.0
1081195,477,20122,6,3,4.0
1081197,292,20111,6,3,4.0
1081221,146,20111,6,3,4.0
1081229,4,20111,6,3,4.0
1081232,289,20111,6,3,4.0
1081255,288,20111,6,3,4.0
1081264,1,20121,6,3,4.0
1081282,408,20111,6,3,4.0
1081288,211,20111,6,3,4.0
1081292,206,20111,6,3,4.0
1081309,449,20111,6,3,4.0
1081313,222,20121,6,3,4.0
1081318,164,20121,6,3,4.0
1081320,208,20111,6,3,4.0
1081328,206,20111,6,3,4.0
1081340,202,20111,6,3,4.0
1081346,164,20111,12,3,4.0
1081354,164,20111,6,3,4.0
1081369,109,20111,7,3,4.0
1081402,335,20122,7,3,4.0
1081410,111,20111,7,3,4.0
1081413,324,20111,7,3,4.0
1081447,112,20111,7,3,4.0
1081484,111,20111,7,3,4.0
1081500,110,20111,7,3,4.0
1081504,11,20111,7,3,4.0
1081517,113,20111,7,3,4.0
1081546,111,20111,7,3,4.0
1081570,116,20111,7,3,4.0
1081573,305,20123,7,3,4.0
1081583,305,20123,7,3,4.0
1081604,11,20122,7,3,4.0
1081615,110,20111,7,3,4.0
1081640,111,20111,7,3,4.0
1081661,349,20122,7,3,4.0
1081681,11,20111,7,3,4.0
1081684,305,20123,7,3,4.0
1086978,330,20122,12,3,4.0
1086996,358,20122,12,3,4.0
1086998,160,20111,12,3,4.0
1087019,346,20111,8,3,4.0
1087026,109,20123,12,3,4.0
1087038,110,20111,1,3,4.0
1087042,142,20111,1,3,4.0
1087048,140,20111,12,3,4.0
1087063,163,20111,1,3,4.0
1087068,136,20111,8,3,4.0
1087072,425,20111,1,3,4.0
1087075,347,20111,1,3,4.0
1087081,396,20122,6,3,4.0
1087083,155,20111,6,3,4.0
1087101,422,20111,6,3,4.0
1087120,153,20111,6,3,4.0
1087148,120,20122,6,3,4.0
1087235,314,20122,6,3,4.0
1087246,124,20111,6,3,4.0
1087259,15,20111,6,3,4.0
1087262,5,20111,6,3,4.0
1087265,121,20111,6,3,4.0
1087289,307,20122,6,3,4.0
1087305,183,20111,11,3,4.0
1087316,355,20111,11,3,4.0
1087322,344,20111,11,3,4.0
1087326,342,20111,11,3,4.0
1087340,351,20121,11,3,4.0
1087356,183,20111,11,3,4.0
1088169,349,20111,7,3,4.0
1088287,109,20111,7,3,4.0
1090005,36,20111,1,3,4.0
1090010,116,20122,1,3,4.0
1090031,302,20111,1,3,4.0
1090039,103,20122,1,3,4.0
1090048,9,20111,1,3,4.0
1090052,317,20122,1,3,4.0
1090060,6,20111,1,3,4.0
1090065,6,20111,1,3,4.0
1090077,302,20111,1,3,4.0
1090084,325,20123,1,3,4.0
1090097,12,20122,1,3,4.0
1090098,103,20122,1,3,4.0
1090103,110,20122,1,3,4.0
1090108,9,20111,1,3,4.0
1090116,15,20111,1,3,4.0
1090120,304,20111,1,3,4.0
1090123,130,20122,1,3,4.0
1090124,9,20111,1,3,4.0
1090125,107,20122,1,3,4.0
1090133,110,20122,1,3,4.0
1090152,348,20122,8,3,4.0
1090153,346,20111,8,3,4.0
1090162,354,20122,1,3,4.0
1090163,149,20122,1,3,4.0
1090171,10,20111,1,3,4.0
1090175,4,20111,1,3,4.0
1090187,8,20111,1,3,4.0
1090189,6,20111,1,3,4.0
1090226,144,20122,1,3,4.0
1090233,12,20123,1,3,4.0
1090237,369,20122,1,3,4.0
1090246,136,20111,1,3,4.0
1090272,1,20111,1,3,4.0
1090273,145,20122,1,3,4.0
1090277,364,20122,1,3,4.0
1090290,12,20123,1,3,4.0
1090309,372,20122,1,3,4.0
1090311,137,20111,1,3,4.0
1090313,11,20123,1,3,4.0
1090324,127,20111,1,3,4.0
1090326,91,20122,1,3,4.0
1090327,7,20111,1,3,4.0
1090328,88,20111,1,3,4.0
1090329,344,20122,1,3,4.0
1090333,6,20111,1,3,4.0
1090337,88,20121,1,3,4.0
1090338,6,20111,1,3,4.0
1090340,127,20111,1,3,4.0
1090344,88,20111,1,3,4.0
1090347,15,20123,1,3,4.0
1090349,92,20122,1,3,4.0
1090357,6,20111,1,3,4.0
1090364,124,20122,1,3,4.0
1090369,120,20122,1,3,4.0
1090373,88,20111,1,3,4.0
1090377,92,20122,1,3,4.0
1090379,90,20122,1,3,4.0
1090384,124,20122,1,3,4.0
1090390,128,20111,6,3,4.0
1090393,142,20111,6,3,4.0
1090401,390,20121,6,3,4.0
1090407,389,20122,6,3,4.0
1090454,141,20111,6,3,4.0
1090457,141,20111,6,3,4.0
1090467,388,20122,6,3,4.0
1090471,388,20122,6,3,4.0
1090473,151,20122,6,3,4.0
1090476,9,20121,6,3,4.0
1090505,426,20122,6,3,4.0
1090516,459,20122,6,3,4.0
1090518,461,20123,6,3,4.0
1090521,17,20111,6,3,4.0
1090537,142,20111,6,3,4.0
1090543,153,20122,6,3,4.0
1090564,324,20122,6,3,4.0
1090581,10,20122,6,3,4.0
1090587,131,20111,6,3,4.0
1090593,353,20122,6,3,4.0
1090600,356,20123,6,3,4.0
1090603,112,20111,6,3,4.0
1090610,118,20122,6,3,4.0
1090612,307,20121,6,3,4.0
1090616,104,20111,6,3,4.0
1090664,11,20123,6,3,4.0
1090666,111,20111,6,3,4.0
1090678,350,20123,6,3,4.0
1090692,356,20123,6,3,4.0
1090695,103,20111,6,3,4.0
1090698,105,20111,6,3,4.0
1090701,121,20111,6,3,4.0
1090704,10,20111,6,3,4.0
1090730,369,20123,6,3,4.0
1090734,161,20111,6,3,4.0
1090738,375,20122,6,3,4.0
1090752,112,20111,6,3,4.0
1090758,369,20122,6,3,4.0
1090767,110,20111,6,3,4.0
1090773,372,20123,6,3,4.0
1090775,161,20111,6,3,4.0
1090783,121,20123,6,3,4.0
1090788,375,20122,6,3,4.0
1090798,109,20111,6,3,4.0
1090800,6,20111,6,3,4.0
1090802,368,20122,6,3,4.0
1090814,121,20121,6,3,4.0
1090821,314,20122,11,3,4.0
1090825,128,20111,11,3,4.0
1090838,359,20122,11,3,4.0
1090845,15,20111,11,3,4.0
1090883,128,20111,11,3,4.0
1090884,122,20122,11,3,4.0
1090892,15,20111,11,3,4.0
1090896,117,20111,12,3,4.0
1090904,135,20111,6,3,4.0
1090946,362,20122,6,3,4.0
1090973,142,20122,6,3,4.0
1091003,379,20122,6,3,4.0
1091005,131,20111,6,3,4.0
1091050,155,20111,6,3,4.0
1091086,155,20111,6,3,4.0
1091093,151,20122,6,3,4.0
1091124,10,20111,6,3,4.0
1091129,17,20111,6,3,4.0
1091155,10,20111,6,3,4.0
1091187,6,20121,6,3,4.0
1091218,10,20123,6,3,4.0
1091228,10,20111,6,3,4.0
1091246,287,20122,6,3,4.0
1091262,295,20123,6,3,4.0
1091266,33,20111,6,3,4.0
1091271,128,20111,6,3,4.0
1091272,159,20122,6,3,4.0
1091322,394,20122,6,3,4.0
1091324,342,20123,6,3,4.0
1091344,164,20121,6,3,4.0
1091375,394,20111,6,3,4.0
1091385,116,20122,7,3,4.0
