,F_MASV,F_MAMH,F_NHHK,F_DIEM4,PREDICT_SCORE
0,38209.0,1319.0,20132,2.5,2.6
1,27493.0,1699.0,20132,4.0,2.9
2,10248.0,3088.0,20132,2.0,3.5
3,22916.0,1535.0,20132,3.0,2.6
4,15552.0,2054.0,20132,4.0,3.5
5,15847.0,2358.0,20132,4.0,3.4
6,30057.0,3331.0,20132,2.0,3.5
7,5015.0,971.0,20132,1.5,2.7
8,28593.0,1705.0,20132,4.0,2.9
9,34965.0,1206.0,20132,3.0,2.9
10,34949.0,1253.0,20132,2.5,2.9
11,35601.0,3631.0,20132,3.5,2.7
12,33498.0,1684.0,20132,2.5,2.9
13,77373.0,3492.0,20201,3.5,2.6
14,78025.0,859.0,20201,3.0,2.0
15,81749.0,815.0,20201,3.5,1.9
16,74554.0,2535.0,20201,3.0,4.0
17,77391.0,3489.0,20201,4.0,2.6
18,74564.0,2105.0,20201,4.0,3.8
19,77792.0,3706.0,20201,0.0,2.5
20,78070.0,816.0,20201,2.0,1.9
21,79436.0,810.0,20201,3.0,1.4
22,68916.0,3649.0,20201,2.0,3.5
23,75775.0,1897.0,20201,4.0,2.9
24,74604.0,2751.0,20201,4.0,3.7
25,80664.0,4827.0,20201,3.0,4.0
26,82150.0,4363.0,20201,3.0,2.9
27,75969.0,3473.0,20201,3.5,3.0
28,74425.0,2707.0,20201,3.0,3.9
29,81914.0,1546.0,20201,3.5,3.2
30,74961.0,2707.0,20201,3.0,3.9
31,80805.0,2714.0,20201,4.0,3.9
32,88390.0,4355.0,20201,2.0,2.8
33,85459.0,2066.0,20201,2.5,3.8
34,80479.0,4836.0,20201,3.5,4.0
35,88159.0,2294.0,20201,2.0,3.8
36,84226.0,1202.0,20201,3.5,2.0
37,87029.0,3690.0,20201,0.0,2.6
38,14229.0,2466.0,20132,2.5,3.3
39,4968.0,969.0,20132,3.0,2.7
40,32398.0,1321.0,20132,3.5,2.6
41,83367.0,1598.0,20201,3.0,3.1
42,89034.0,4361.0,20201,4.0,2.9
43,71930.0,1686.0,20191,2.0,2.6
44,74151.0,1434.0,20191,1.5,2.3
45,68102.0,1559.0,20191,3.5,2.4
46,93499.0,1650.0,20191,3.0,2.8
47,71986.0,1516.0,20191,4.0,2.7
48,72103.0,1558.0,20191,3.0,3.1
49,65200.0,467.0,20201,3.5,2.0
50,60884.0,1125.0,20201,3.5,2.1
51,65106.0,786.0,20201,1.0,1.8
52,60843.0,1123.0,20201,3.0,2.1
53,66224.0,155.0,20162,1.0,3.5
54,31851.0,1586.0,20111,2.5,1.8
55,9652.0,286.0,20111,3.0,2.7
56,32284.0,1190.0,20112,2.5,2.9
57,1857.0,380.0,20112,3.0,2.3
58,31871.0,1583.0,20112,3.0,1.8
59,31889.0,1583.0,20112,3.0,1.8
60,43358.0,3876.0,20162,4.0,2.8
61,58021.0,3649.0,20162,3.5,2.1
62,63793.0,3649.0,20162,3.0,3.1
63,48592.0,644.0,20162,4.0,2.4
64,44183.0,261.0,20162,3.0,2.5
65,44148.0,255.0,20162,4.0,2.5
66,49653.0,1434.0,20162,3.0,3.3
67,50015.0,1434.0,20162,3.0,3.3
68,49881.0,1420.0,20162,3.5,3.3
69,62613.0,1756.0,20162,2.0,2.3
70,53170.0,3460.0,20162,2.5,2.5
71,47592.0,1663.0,20162,3.0,2.9
72,58856.0,3376.0,20162,2.0,2.9
73,47838.0,1058.0,20162,3.0,2.7
74,44575.0,955.0,20162,2.0,2.7
75,41673.0,4844.0,20162,3.5,3.0
76,41864.0,4348.0,20162,3.0,2.8
77,30283.0,735.0,20161,0.0,2.3
78,53203.0,4371.0,20161,3.0,2.8
79,45074.0,1319.0,20161,3.0,2.6
80,54519.0,3635.0,20161,3.0,2.1
81,56890.0,2073.0,20161,3.0,3.7
82,53021.0,3473.0,20161,3.0,2.5
83,44106.0,270.0,20161,3.0,2.7
84,56803.0,1386.0,20161,2.0,1.9
85,42095.0,1583.0,20161,3.5,1.8
86,42840.0,1194.0,20161,2.5,2.9
87,54643.0,1681.0,20162,3.0,2.9
88,43551.0,2419.0,20162,4.0,3.3
89,62557.0,1869.0,20162,3.5,3.4
90,59592.0,2674.0,20162,3.0,3.4
91,66660.0,4370.0,20162,3.0,2.9
92,66665.0,3627.0,20162,2.0,3.5
93,66117.0,1398.0,20162,2.0,3.3
94,58253.0,1685.0,20162,3.0,1.9
95,58542.0,2676.0,20162,2.0,3.3
96,62790.0,3639.0,20162,1.0,3.7
97,57334.0,2676.0,20162,3.0,2.7
98,57739.0,2066.0,20162,2.0,3.7
99,42773.0,1279.0,20161,2.0,2.6
100,36594.0,314.0,20161,3.5,2.7
101,36148.0,297.0,20161,4.0,2.7
102,9253.0,374.0,20161,3.0,2.3
103,22919.0,1583.0,20141,3.0,1.8
104,27678.0,3409.0,20141,3.5,3.3
